PSBBEAM/B#value,PSBBEAM/B#value
X,Y
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
65.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,0.0
70.0,0.0
71.0,0.0
72.0,0.0
73.0,0.0
74.0,0.0
75.0,0.0
76.0,0.0
77.0,0.0
78.0,0.0
79.0,0.0
80.0,0.0
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
89.0,0.0
90.0,0.0
91.0,0.0
92.0,0.0
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
100.1,0.012
100.2,0.049
100.3,0.111
100.4,0.197
100.5,0.308
100.6,0.443
100.7,0.603
100.8,0.786
100.9,0.994
101.0,1.227
101.1,1.483
101.2,1.763
101.3,2.067
101.4,2.396
101.5,2.747
101.6,3.123
101.7,3.523
101.8,3.946
101.9,4.392
102.0,4.862
102.1,5.356
102.2,5.873
102.3,6.413
102.4,6.976
102.5,7.563
102.6,8.173
102.7,8.806
102.8,9.461
102.9,10.14
103.0,10.841
103.1,11.566
103.2,12.313
103.3,13.082
103.4,13.874
103.5,14.689
103.6,15.526
103.7,16.386
103.8,17.267
103.9,18.171
104.0,19.098
104.1,20.046
104.2,21.016
104.3,22.009
